sepallength,sepalwidth,petallength,petalwidth,class
short,medium,short,short,Iris-setosa
medium,short,medium,medium,Iris-versicolor
medium,medium,medium,medium,Iris-versicolor
long,medium,long,medium,Iris-virginica
medium,short,medium,medium,Iris-versicolor
short,short,medium,medium,Iris-versicolor
long,medium,long,long,Iris-virginica
short,long,short,short,Iris-setosa
medium,short,long,long,Iris-virginica
short,medium,short,short,Iris-setosa
medium,medium,long,long,Iris-virginica
long,short,medium,medium,Iris-versicolor
medium,short,long,medium,Iris-virginica
short,medium,short,short,Iris-setosa
short,medium,short,short,Iris-setosa
long,short,long,long,Iris-virginica
short,medium,short,short,Iris-setosa
medium,medium,medium,medium,Iris-versicolor
medium,short,long,long,Iris-virginica
short,short,medium,medium,Iris-versicolor
long,medium,medium,medium,Iris-versicolor
medium,medium,long,long,Iris-virginica
medium,short,long,long,Iris-virginica
short,medium,short,short,Iris-setosa
medium,short,medium,medium,Iris-versicolor
short,short,medium,medium,Iris-versicolor
short,short,medium,medium,Iris-versicolor
short,medium,short,short,Iris-setosa
medium,medium,long,long,Iris-virginica
medium,short,long,medium,Iris-virginica
medium,medium,medium,medium,Iris-versicolor
medium,medium,medium,medium,Iris-versicolor
short,medium,short,short,Iris-setosa
short,long,short,short,Iris-setosa
short,medium,short,short,Iris-setosa
short,short,medium,medium,Iris-virginica
medium,medium,medium,medium,Iris-versicolor
short,medium,short,short,Iris-setosa
medium,medium,medium,medium,Iris-versicolor
long,short,long,long,Iris-virginica
medium,short,medium,medium,Iris-versicolor
medium,short,long,medium,Iris-virginica
short,medium,short,short,Iris-setosa
medium,medium,medium,medium,Iris-versicolor
medium,medium,medium,medium,Iris-versicolor
short,medium,short,short,Iris-setosa
short,long,short,short,Iris-setosa
short,medium,short,short,Iris-setosa
medium,short,long,long,Iris-virginica
short,long,short,short,Iris-setosa
medium,short,long,long,Iris-virginica
medium,medium,long,long,Iris-virginica
short,medium,short,short,Iris-setosa
medium,medium,long,long,Iris-virginica
medium,short,medium,medium,Iris-versicolor
medium,medium,medium,medium,Iris-versicolor
medium,medium,medium,medium,Iris-versicolor
short,short,short,short,Iris-setosa
short,medium,short,short,Iris-setosa
short,short,medium,medium,Iris-versicolor
medium,medium,medium,medium,Iris-versicolor
medium,short,medium,medium,Iris-versicolor
medium,short,medium,medium,Iris-versicolor
medium,medium,medium,medium,Iris-versicolor
medium,short,medium,medium,Iris-versicolor
medium,medium,medium,medium,Iris-versicolor
short,medium,short,short,Iris-setosa
medium,short,medium,medium,Iris-versicolor
medium,short,medium,medium,Iris-versicolor
short,medium,short,short,Iris-setosa
short,medium,short,short,Iris-setosa
short,medium,medium,medium,Iris-versicolor
short,short,medium,medium,Iris-versicolor
medium,medium,medium,medium,Iris-versicolor
short,long,short,short,Iris-setosa
short,long,short,short,Iris-setosa
medium,medium,long,long,Iris-virginica
short,medium,short,short,Iris-setosa
short,medium,short,short,Iris-setosa
short,short,medium,medium,Iris-versicolor
medium,medium,medium,long,Iris-virginica
medium,short,long,long,Iris-virginica
medium,short,medium,long,Iris-virginica
medium,medium,long,long,Iris-virginica
medium,short,long,long,Iris-virginica
long,medium,long,long,Iris-virginica
medium,short,medium,medium,Iris-versicolor
medium,medium,long,long,Iris-virginica
long,medium,long,long,Iris-virginica
long,medium,long,long,Iris-virginica
short,medium,short,short,Iris-setosa
long,medium,long,long,Iris-virginica
short,medium,short,short,Iris-setosa
short,medium,short,short,Iris-setosa
medium,long,short,short,Iris-setosa
medium,medium,long,long,Iris-virginica
long,medium,medium,medium,Iris-versicolor
medium,medium,medium,long,Iris-versicolor
long,medium,long,long,Iris-virginica
medium,short,medium,long,Iris-virginica
medium,short,medium,medium,Iris-versicolor
short,medium,short,short,Iris-setosa
medium,medium,medium,long,Iris-virginica
short,long,short,short,Iris-setosa
short,short,medium,medium,Iris-versicolor
long,long,long,long,Iris-virginica
short,medium,short,short,Iris-setosa
medium,medium,medium,medium,Iris-versicolor
medium,medium,medium,medium,Iris-versicolor
medium,short,medium,long,Iris-virginica
short,medium,short,short,Iris-setosa
short,medium,short,short,Iris-setosa
long,medium,long,long,Iris-virginica
medium,medium,long,long,Iris-virginica
short,short,medium,medium,Iris-versicolor
short,short,medium,medium,Iris-versicolor
medium,short,medium,medium,Iris-versicolor
medium,medium,long,long,Iris-virginica
medium,medium,long,long,Iris-virginica
short,medium,short,short,Iris-setosa
